Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
main,starbucks,IMenuReceiver,0,0,1,0,9,1,0,0,-1.0,3,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IMenuReceiver.java,5
main,starbucks,Passcode4,2,0,6,6,74,13,0,1,0.5,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Passcode4.java,5
main,starbucks,Rewards,0,0,3,3,22,3,0,2,-1.0,1,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Rewards.java,5
main,starbucks,FourPinDigits,1,0,5,5,40,5,0,1,0.4,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/FourPinDigits.java,5
main,starbucks,CardID,3,0,9,9,72,15,0,1,0.3333333333333333,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/CardID.java,5
main,starbucks,MyCards,1,0,4,4,36,6,0,2,0.75,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/MyCards.java,5
main,starbucks,CardCode,3,0,9,9,72,15,0,1,0.3333333333333333,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/CardCode.java,5
main,starbucks,MyCardsMoreOptions,0,0,3,3,24,3,0,2,-1.0,1,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/MyCardsMoreOptions.java,5
main,starbucks,Device,20,5,39,33,391,64,0,1,0.15384615384615385,10,9,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Device.java,7
main,starbucks,Main,0,0,2,1,184,24,0,0,-1.0,0,3,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Main.java,7
main,starbucks,MenuOption,1,0,2,2,19,2,0,1,0.0,0,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/MenuOption.java,5
main,starbucks,MenuCommand,1,0,2,2,19,2,0,1,0.0,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/MenuCommand.java,5
